Date;Activity;Details;Time;Involved People
03/04/2020;Work;;04:10:52;
04/04/2020;Cooking,Eat,Sing,Frank's call;;02:28:36;Frank
04/04/2020;Sleep;;08:30:00;
04/04/2020;Work;;02:28:30;
04/04/2020;Relax;No internet;00:10:51;
04/04/2020;Work;;00:18:40;
04/04/2020;Cooking,Eat,Sing,Training,Shopping;;03:40:00;
04/04/2020;Work;;02:29:26;
04/04/2020;No internet,Order and Cleanliness,Videogames;;03:00:14;
04/04/2020;Videogames;;01:13:51;
05/04/2020;Sleep;;08:00:12;
05/04/2020;No internet;;00:52:46;
05/04/2020;Work;;03:18:32;
05/04/2020;Eat;;00:52:19;
05/04/2020;Work;;04:24:15;
05/04/2020;Cooking,Eat,Order and Cleanliness,Relax;;02:08:48;
05/04/2020;Order and Cleanliness;;00:47:35;
06/04/2020;Sleep;;06:15:46;
06/04/2020;Coffee,News;;00:21:51;
06/04/2020;College;;03:57:05;
06/04/2020;Eat,Training,Messages;;01:20:48;
06/04/2020;Pay taxes;No internet;00:42:39;
06/04/2020;Relax;;00:53:01;
06/04/2020;College;;02:49:10;
06/04/2020;Cooking ,Sing,Eat,Relax;;02:33:13;
06/04/2020;Mother's call;;00:21:37;Mother
07/04/2020;College;;01:10:52;
07/04/2020;Videogames;;01:26:48;
07/04/2020;Sleep;;07:38:56;
07/04/2020;Taxes;Internet;01:15:43;
07/04/2020;College;;00:23:18;
07/04/2020;Taxes;;01:15:00;
07/04/2020;College;;02:10:07;
07/04/2020;Cooking,Eat;;01:19:11;
07/04/2020;College;;05:12:11;
08/04/2020;Relax,Sing,Eat;;01:24:12;
08/04/2020;Sleep;;08:24:11;
08/04/2020;News and coffee;;00:27:58;
08/04/2020;College;;03:58:51;
08/04/2020;Eat;Tuna,Eggs;00:39:24;
08/04/2020;Training;;00:45:00;
08/04/2020;College;;04:12:26;
08/04/2020;Eat,Videogames;;02:40:38;
08/04/2020;Sleep;;08:40:45;
08/04/2020;No electric energy,Play guitar;;00:52:38;
08/04/2020;Cooking;;01:04:02;
08/04/2020;College;;01:36:25;
08/04/2020;Eat,Relax,Mother's call;;04:01:48;Mother
10/04/2020;Work;;00:54:02;
10/04/2020;Sleep;;07:57:00;
10/04/2020;Youtube videos,Coffee;;00:17:30;
10/04/2020;College;;02:13:43;
10/04/2020;Eat;Eggs;00:33:42;
10/04/2020;Organize;Shopping;02:48:03;
10/04/2020;Eat,Order and Cleanliness,Relax;;02:40:26;
10/04/2020;Taxes;;01:30:26;
11/04/2020;Work;;04:47:40;
11/04/2020;Sleep;;10:45:00;
11/04/2020;Work;;03:58:17;
11/04/2020;Work;;01:37:17;
11/04/2020;Cooking,Eat;Videogames;01:17:58;
12/04/2020;Work;;01:43:11;
12/04/2020;Sleep;;09:07:36;
12/04/2020;Work;;02:49:34;
12/04/2020;Relax;;00:15:44;
12/04/2020;Work;;00:16:37;
12/04/2020;Cooking,Eat,Relax;Toasts with cheese,Eggs,Videogames;02:14:05;
12/04/2020;Coffee;;00:26:36;
13/04/2020;Work;;05:58:48;
13/04/2020;Work;;00:27:00;
13/04/2020;Cooking,eat;Tuna,Mashed potatoes,Bread,Peanut;01:21:32;
13/04/2020;Sleep;;08:10:50;
13/04/2020;Coffee;;00:38:30;
13/04/2020;College;;04:18:59;
13/04/2020;Cooking,Virtual class,Training, Eat,Relax;Pasta with tomatoe sauce,Steak;02:43:20;
13/04/2020;College;;02:11:01;
14/04/2020;Sleep;Levantado a las 9:30;08:47:17;
14/04/2020;Coffee;;00:12:00;
14/04/2020;College;;02:35:50;
14/04/2020;Cooking,Eat,Sing,Relax;Chicken thigh to oven,Videogames;03:34:17;
14/04/2020;College;;05:04:00;
14/04/2020;Relax,Mother's call,Readings;;01:04:35;Mother
14/04/2020;Sleep;;09:05:00;
14/04/2020;College;;07:27:04;
15/04/2020;Relax,Message;;01:31:15;
15/04/2020;College;;01:45:11;
15/04/2020;Cooking,Eat,Sing,Videogames;;02:48:21;
16/04/2020;Sleep;;08:11:58;
16/04/2020;Procrastination;youtube videos;00:41:56;
16/04/2020;College;Fast;03:53:59;
16/04/2020;College,Training;;00:48:44;
16/04/2020;College;;00:13:36;
16/04/2020;Play guitar;;00:36:14;
16/04/2020;College;;01:54:53;
16/04/2020;College;;01:00:00;
16/04/2020;Relax;;02:13:30;
17/04/2020;Sleep;;09:32:13;
17/04/2020;Work;;02:45:16;
17/04/2020;Cooking,Eat,Coffee;;01:44:09;
17/04/2020;Work;;05:54:05;
17/04/2020;Eat;;00:29:28;
17/04/2020;Work;;00:46:05;
18/04/2020;Sleep;;08:20:00;
18/04/2020;Work;;02:30:06;
18/04/2020;Shopping,Taxes,Meet with friends;;04:50:38;Nick,John,Raymond
18/04/2020;Work;;00:52:37;
18/04/2020;Cooking,Eat;;01:55:22;
19/04/2020;Work;;01:21:32;
19/04/2020;Sleep;;08:00:00;
19/04/2020;Organize,Make shopping list;;04:49:27;
19/04/2020;Shopping;;04:14:41;
19/04/2020;Cooking,Eat;;01:50:19;
20/04/2020;College;;02:04:20;
20/04/2020;College;;04:20:45;
21/04/2020;Eat;Videogames;01:38:22;
21/04/2020;Sleep;;08:36:28;
21/04/2020;Coffee,Procrastination;;00:44:13;
21/04/2020;College;;02:47:32;
21/04/2020;Work;;02:28:59;
21/04/2020;Cooking,Eat;Bread with cheese,Eggs;01:07:31;
21/04/2020;Relax;;00:32:23;
21/04/2020;Work;;00:40:37;
21/04/2020;Work,College;;01:07:01;
22/04/2020;Work;;02:37:16;
22/04/2020;Cooking,Eat;Toasts with cheese,Videogames;00:53:30;
22/04/2020;Sleep;;08:45:00;
22/04/2020;College,Cooking,Training;Potatoes to oven;05:20:26;
22/04/2020;Eat;;01:15:26;
22/04/2020;Work;;00:20:13;
22/04/2020;Shopping;;00:39:39;
23/04/2020;Work;;04:03:28;
23/04/2020;Sleep;;07:45:22;
23/04/2020;College;;04:26:32;
23/04/2020;College,Cooking,Order and Cleanliness;Virtual classes,Potatoes to oven;02:01:32;
23/04/2020;Eat;;00:31:04;
23/04/2020;College;;02:00:00;
23/04/2020;Relax;;00:30:00;
23/04/2020;Work;;02:15:46;
24/04/2020;Cooking,Eat;;02:11:48;
24/04/2020;Sleep;;08:58:02;
24/04/2020;Coffee,news;;00:40:12;
24/04/2020;College;;03:08:29;
24/04/2020;Work;;05:57:09;
24/04/2020;Eat;;01:08:39;
24/04/2020;Mother's call;;00:22:28;Mother
25/04/2020;Trading;;00:39:50;
25/04/2020;Sleep;;09:00:00;
25/04/2020;College;;00:45:43;
25/04/2020;Work;;01:28:41;
25/04/2020;Cooking,Eat;Bread with melted cheese;01:17:06;
25/04/2020;Shopping;;01:00:37;
26/04/2020;Work;;02:40:03;
26/04/2020;Sleep;;06:50:04;
26/04/2020;Coffee;;00:46:15;
26/04/2020;College;;02:36:53;
26/04/2020;Cooking,Eat;;03:09:39;
26/04/2020;Coffee,Relax;;00:21:41;
26/04/2020;College;;01:52:56;
26/04/2020;Work;;01:17:35;
27/04/2020;Sleep;;08:50:00;
27/04/2020;College;;02:44:13;
27/04/2020;Cooking,Eat,College,Sing,Relax ;;03:36:30;
27/04/2020;Messages;;00:27:39;
27/04/2020;College;;02:57:40;
27/04/2020;Work;;03:28:21;
28/04/2020;Sleep;;08:00:00;
28/04/2020;College;;02:00:00;
28/04/2020;College;;00:55:45;
28/04/2020;Cooking,Eat;Bread with cheese,Pubg;01:04:46;
28/04/2020;Work;;01:56:21;
28/04/2020;Shopping,Sing;Bread with tuna;01:16:50;
28/04/2020;Work;;00:42:42;
28/04/2020;College;;01:57:59;
28/04/2020;Work;;01:23:53;
29/04/2020;Sleep;;08:46:40;
29/04/2020;Videocall;;00:40:28;Nick,John,Ron
29/04/2020;College;;01:52:45;
29/04/2020;College;Virtual classes;01:41:26;
29/04/2020;Cooking,Eat,Relax;Pubg,Bread with cheese;01:27:31;
29/04/2020;College;Work in group ASI;02:10:48;
29/04/2020;Work;;01:18:58;
30/04/2020;Sleep;;10:00:00;
30/04/2020;Procrastination;;00:44:34;
30/04/2020;College;Virtual classes;01:28:00;
30/04/2020;Systems readings;;00:20:36;
30/04/2020;Work;;01:24:08;
30/04/2020;College,Order and Cleanliness;Virtual classes;02:02:01;
30/04/2020;College,Shopping;Virtual classes;02:33:51;
30/04/2020;College;Virtual classes;02:18:21;
30/04/2020;Mother's call;;00:27:53;Mother
30/04/2020;Work;;01:08:58;
01/05/2020;Cooking,Eat;Steak to Saucepan,Rice;02:08:48;
01/05/2020;Sleep;;08:13:16;
01/05/2020;Coffee,Place cortains;;00:18:00;
01/05/2020;College;Practice AED;00:27:00;
01/05/2020;College;Practice AED;02:30:11;
01/05/2020;Training;;00:30:03;
01/05/2020;College;Practice AED;04:07:48;
02/05/2020;Sleep;;09:45:38;
02/05/2020;College;Exam AED;00:46.51;
02/05/2020;Work;;01:08:00;
02/05/2020;Work;;00:31:07;
02/05/2020;Cooking,eat;Rice,Chicken breast to saucepan;01:35:29;
02/05/2020;Relax,Shopping;Find out prices;01:35:00;
02/05/2020;Shopping,Meet with friends,Cooking,Mother's call,sing;Chicken to saucepan,Rice;04:50:27;Nick,Jhon,July,Mother
03/05/2020;Eat;Pubg;01:07:17;
03/05/2020;Sleep;;08:50:57;
03/05/2020;Work;;03:30:13;
03/05/2020;Cooking,Eat,Messages;Rice,Chicken breast to saucepan,Pubg;02:04:07;Jayden
03/05/2020;College;Group SOR;04:38:28;
03/05/2020;Training;;00:26:48;
03/05/2020;Cooking,Eat,Relax,Sing;Chicken breast to saucepan,Rice with melted cheese;02:46:35;
04/05/2020;Procrastination;;00:33:15;
04/05/2020;Work;;00:57:44;
04/05/2020;Sleep;;10:00:00;
04/05/2020;Work,College;Virtual classes;02:12:38;
04/05/2020;Eat;Chicken breast to saucepan,Rice with melted cheese;00:27:44;
04/05/2020;Work;;00:33:00;
04/05/2020;Work;;01:51:19;
04/05/2020;College,Cooking,Eat,Relax;Virtual classes,Chicken thigh to saucepan,Rice;02:39:18;
04/05/2020;Work;;00:53:54;
04/05/2020;College;Group SOR;01:08:38;
05/05/2020;Sleep;;10:10:44;
05/05/2020;Coffee;;00:23:51;
05/05/2020;Work;;01:48:25;
05/05/2020;Cooking,Eat,Relax;Steak to saucepan,Rice;02:40:54;
05/05/2020;Work;;01:08:49;
05/05/2020;College;Group SOR,Virtual classes;04:56:01;
05/05/2020;Cooking,Eat,Relax;;01:48:04;
06/05/2020;College;Download video editor;00:24:30;
06/05/2020;Sleep;;08:21:42;
06/05/2020;Coffee,Message;;00:27:15;Frank
06/05/2020;College;;01:59:56;
06/05/2020;Cooking,Eat;Steak to saucepan,Rice;01:38:24;
06/05/2020;College;;00:53:13;
06/05/2020;Work;;00:21:09;
06/05/2020;College,Relax;;00:35:17;
06/05/2020;Apps instalation;;01:17:51;
06/05/2020;College;;03:15:00;
07/05/2020;Cooking,Eat;Chicken thigh to saucepan,Rice;01:15:08;
07/05/2020;Sleep;;09:30:00;
07/05/2020;Pay taxes;;00:53:15;
07/05/2020;College;;01:34:34;
07/05/2020;Cook,Sing,Eat,College;Virtual classes,Pasta with chicken;03:04:33;
07/05/2020;Order and Cleanliness,College;Virtual classes;03:04:34;
07/05/2020;College;;02:41:26;
07/05/2020;Eat,Mother's call;Pasta with chicken;01:27:47;Mother
08/05/2020;Sleep;;10:29:03;
08/05/2020;Coffee;;00:27:24;
08/05/2020;College;Practice MAD;02:05:33;
08/05/2020;Cooking,Eat;Pasta with chicken;02:47:50;
08/05/2020;College;;05:10:22;
08/05/2020;Eat,Mother's call,Message;;00:57:12;Austin,Nick,Raymond
09/05/2020;Sleep;;09:51:32;
09/05/2020;College;Project SOR;02:08:56;
09/05/2020;Cooking,Eat,Procrastination;;01:21:42;
09/05/2020;College;Project SOR;01:51:23;
09/05/2020;Work;;01:47:02;
09/05/2020;Eat;Tuna with bread;00:49:49;
09/05/2020;Work;;03:42:52;
10/05/2020;Sleep;;10:30:00;
10/05/2020;Work;;00:23:45;
10/05/2020;Cooking,Eat;Toasts with cheese;00:46:12;
10/05/2020;Work;;01:33:22;
10/05/2020;Shopping;Withdraw money;01:19:36;
10/05/2020;Work;;01:12:41;
10/05/2020;College;Group SOR;03:17:38;
10/05/2020;Cooking,eat;Toasts with cheese;00:40:16;
11/05/2020;Work;;02:49:13;
11/05/2020;Sleep;;09:30:00;
11/05/2020;College;;02:36:58;
11/05/2020;Cooking,Eat,Relax;Chicken to saucepan,Cornmeal;02:40:26;
11/05/2020;Shopping;;02:04:28;
11/05/2020;College,Order and Cleanliness;Virtual classes;00:46:17;
11/05/2020;Shopping;;00:40:00;
11/05/2020;College;;01:00:24;
11/05/2020;Eat;Chicken,Peanut;00:32:00;
12/05/2020;Sleep;;09:27:00;
12/05/2020;Pay taxes;;00:43:08;
12/05/2020;College;MAD Survey 1 (Practice);00:40:28;
12/05/2020;Eat,Work,Eat;Ossobuco to saucepan,Potatoes;01:41:53;
12/05/2020;Work;;05:34:15;
12/05/2020;College,Shopping;Virtual classes;01:26:18;
12/05/2020;Mother's call;;01:13:35;Mother
13/05/2020;Sleep;;08:58:11;
13/05/2020;College;Practice SOR;03:42:13;
13/05/2020;College;Virtual classes;02:08:49;
13/05/2020;Work,Cooking,eat;;01:35:40;
13/05/2020;Work;;05:28:44;
14/05/2020;Sleep;;09:30:00;
14/05/2020;Coffee;;00:23:00;
14/05/2020;Work;Programming;02:04:27;
14/05/2020;Cook,Eat;Chicken to saucepan,Rice;01:09:03;
14/05/2020;Work;Programming;02:12:00;
14/05/2020;College,Readings;Virtual classes,Elon Musk biography;01:38:00;
14/05/2020;Shopping;;01:21:41;
14/05/2020;College;;00:51:58;
15/05/2020;Work;Programming;01:06:32;
15/05/2020;Cooking,Eat;Chicken breast to saucepan,Potatoes,Rice;01:04:46;
15/05/2020;Sleep;;07:33:22;
15/05/2020;Work;Programming;01:54:35;
15/05/2020;Thyme tea,Economics videos;;00:32:18;
15/05/2020;Readings;Planning;01:04:46;
15/05/2020;College;Project ASI;05:21:23;
16/05/2020;Work;;02:41:18;
16/05/2020;Sleep;;07:40:00;
16/05/2020;Coffee;;00:05:46;
16/05/2020;College;Practice MAD ;02:27:49;
16/05/2020;Cooking,College,Eat;Chicken thigh to saucepan,Potatoes,Practice MAD;02:18:50;
16/05/2020;College;Send doubts of MAD;00:49:02;
16/05/2020;Work;;04:45:38;
16/05/2020;Eat;Chicken to saucepan,Potatoes;00:48:18;
16/05/2020;Work;;01:11:07;
17/05/2020;Sing;;01:00:34;
17/05/2020;Sleep;;08:40:00;
17/05/2020;Coffee;;00:10:04;
17/05/2020;College;Practice MAD ;00:44:37;
17/05/2020;Work;;01:47:24;
17/05/2020;Cooking,eat,Work;Chicken breast to saucepan,Rice;01:51:39;
17/05/2020;Work;;00:59:00;
17/05/2020;Shopping,Meet with friends;;04:31:25;Nick,Nat
18/05/2020;Work,Meet with friends;Videocall;04:34:16;John,Nick,Raymond
18/05/2020;Sleep;;07:20:22;
18/05/2020;College;Summarize MAD;01:11:17;
18/05/2020;Cooking,eat;Rice,Eggs;00:40:07;
18/05/2020;College;Summarize MAD;03:21:20;
18/05/2020;Readings;;00:19:39;
18/05/2020;College;Survey 2 MAD (Practical and Theoretical);01:07:26;
18/05/2020;Cooking,Eat;Chicken to saucepan,Rice,Eggs;01:19:59;
18/05/2020;Work;;03:33:00;
19/05/2020;Work,Mother's call,Messages;;01:00:00;Nick,Jacob,Mother
19/05/2020;Sleep;;09:05:33;
19/05/2020;Work;;02:44:13;
19/05/2020;Cooking,Eat;Chicken breast to saucepan,Rice,Eggs;01:15:13;
19/05/2020;College;;04:57:32;
19/05/2020;Training;;00:18:59;
16/05/2020;Work;;02:33:02;
20/05/2020;Sleep;;07:02:48;
20/05/2020;Coffee;;00:13:37;
20/05/2020;Work;;03:09:32;
20/05/2020;Cooking,Eat,Relax;Ossobuco to saucepan,Rice,Eggs;02:55:06;
20/05/2020;College,Relax;;01:21:57;
20/05/2020;College;Project ASI;02:51:01;
20/05/2020;Shopping;;01:03:40;
20/05/2020;Messages;;00:25:22;Empa
21/05/2020;Sleep;;06:17:00;
21/05/2020;Work;;04:04:11;
21/05/2020;Cook,Eat,College,Work,Relax;Ossobuco to saucepan,Rice,Virtual classes;03:17:23;
21/05/2020;Shopping;;01:13:24;
21/05/2020;College,Work;Virtual classes;03:25:34;
21/05/2020;College;Simulate 1er Exam ASI;02:11:44;
22/05/2020;Eat;;00:42:25;
22/05/2020;Sleep;;07:15:00;
22/05/2020;Coffee;;00:31:55;
22/05/2020;College;Practice ASI;04:13:14;
22/05/2020;Work;;03:35:05;
22/05/2020;Cook,Eat;Chicken breast to saucepan,Rice;01:52:14;
22/05/2020;College;Summarize MAD;03:53:37;
23/05/2020;Sleep;;08:15:00;
23/05/2020;College;Summarize MAD;03:09:26;
23/05/2020;Shopping,Order and Cleanliness;;01:41:09;
23/05/2020;Cook,Eat,Relax;Ossobuco to saucepan,Potatoes,Salad;01:21:04;
23/05/2020;College;Summarize MAD;00:49:22;
23/05/2020;Work,College;;06:30:46;
24/05/2020;Sleep;;07:11:52;
24/05/2020;Coffee;;00:20:19;
24/05/2020;College;Practice MAD ;04:31:27;
24/05/2020;Training,Cook,College;Ossobuco to saucepan,Potatoes,Practice MAD;00:45:23;
24/05/2020;College;Practice MAD ;03:41:20;
24/05/2020;Training;;00:30:02;
24/05/2020;College;Send doubts of ASI;03:12:44;
25/05/2020;Cook,Eat;Ossobuco to saucepan,Potatoes,Rice,Salad,Bread with cheese;01:12:22;
25/05/2020;Sleep;;08:01:59;
25/05/2020;Coffee,Readings;Once a day diet;00:34:45;
25/05/2020;College;Survey 3 MAD (Practical and Theroetical),Project ASI;03:40:50;
25/05/2020;Work;;05:16:13;
25/05/2020;Cook,Eat,Mother's call,Relax;Ossobuco to pan,Potatoes,Rice,Salad,Bread with cheese;02:54:20;Mother
26/05/2020;Sleep;;08:53:10;
26/05/2020;Shopping;;01:00:00;
26/05/2020;College;Project ASI;01:30:00;
26/05/2020;College;Project ASI;01:40:35;
26/05/2020;Work,College;Graph and trees study;05:46:18;
26/05/2020;Cook,Eat,Relax;Ossobuco to pan,Rice,Eggs,Bread;02:24:48;
27/05/2020;Sleep;;07:11:31;
27/05/2020;College;Practice ASI;02:52:57;
27/05/2020;Work,College;Graph study;01:37:04;
27/05/2020;College;Virtual classes;01:22:01;
27/05/2020;Work,College;Programming graph;03:34:04;
27/05/2020;Cook,Eat,Training;Rice,Ossobuco to pan,Eggs,Bread with cheese;01:36:13;
27/05/2020;Work;;02:36:45;
28/05/2020;Sleep;;08:24:09;
28/05/2020;Work;;03:11:59;
28/05/2020;College,Relax;Virtual classes;00:38:27;
28/05/2020;Work;;00:33:50;
28/05/2020;College;Project ASI;00:51:25;
28/05/2020;College;Project ASI;00:23:13;
28/05/2020;College,Work;Project ASI;01:27:52;
28/05/2020;College;Virtual classes;01:28:27;
28/05/2020;Work,College;Virtual classes;01:32:51;
29/05/2020;College,Mother's call,Cook;Exam ASI;04:49:18;Mother
29/05/2020;Cook,Eat;;01:04:23;
29/05/2020;Sleep;Insomnia;09:24:00;
29/05/2020;Coffee;;00:23:46;
29/05/2020;Work;;04:06:21;
29/05/2020;Shopping;;00:42:07;
29/05/2020;Work;;02:00:53;
29/05/2020;Shopping;;01:00:56;
29/05/2020;Work;;02:12:24;
30/05/2020;Sleep;;08:28:59;
30/05/2020;Work;;05:37:05;
30/05/2020;College,See SpaceX takeoff;;03:06:23;
30/05/2020;College;Project 2 AED;02:55:37;
30/05/2020;Cook,Eat;Pasta with tomatoe sauce,Eggs;02:00:00;
31/05/2020;Work;;00:17:46;
31/05/2020;Sleep;;07:15:00;
31/05/2020;College;;00:28:52;
31/05/2020;College;Summarize MAD;02:19:11;
31/05/2020;Work;;02:49:15;
31/05/2020;Relax;;00:27:46;
31/05/2020;Work,College;;01:23:36;
31/05/2020;College;Project 2 AED;04:59:15;
31/05/2020;Sing,Cook,Eat;Pasta with tomatoe sauce,Tuna;00:49:25;
01/06/2020;Sleep;;08:32:35;
01/06/2020;Coffee;;00:15:58;
01/06/2020;College;Project 2 AED;04:17:41;
01/06/2020;College;Survey 4 Practical and theoretical;01:34:21;
01/06/2020;Work;;02:28:38;
01/06/2020;Work;;03:10:22;
02/06/2020;Cook,Eat;Pasta with tomatoe sauce,Eggs;02:30:00;
02/06/2020;Sleep;;07:03:52;
02/06/2020;Coffee,Youtube videos;;00:39:44;
02/06/2020;Work;;06:34:31;
02/06/2020;Work;;03:05:57;
02/06/2020;Cook,Eat,Mother's call,Relax;;03:00:55;
03/06/2020;Sleep;;08:20:00;
03/06/2020;Coffee;;00:30:00;
03/06/2020;Work;;03:53:23;
03/06/2020;College;Virtual classes;02:24:24;
03/06/2020;College;Projecto 2 AED;00:52:51;
03/06/2020;Shopping;;01:46:42;
03/06/2020;Order and Cleanliness;;00:30:58;
03/06/2020;College;Project 2 AED;01:29:36;
03/06/2020;Cook,Eat,Mother's call;;02:20:55;
03/06/2020;Work;;00:20:00;
04/06/2020;Sleep;;08:35:54;
04/06/2020;Coffee;;00:27:55;
04/06/2020;College;Summarize MAD,Project 2 Theoretical SOR;06:03:45;
04/06/2020;College,Readings,Relax;Virtual classes;01:45:31;
04/06/2020;College;Practice MAD;02:41:49;
