Fecha;Actividad;Espcificacion;Tiempo;Personas Involucradas
10/04/2020;Enviar impuestos a inmobiliaria;;01:30:26;
11/04/2020;Trading;;04:47:40;
11/04/2020;Dormir;;10:45:00;
11/04/2020;Espavilacion;;00:15:40;
11/04/2020;Trading;;03:58:17;
11/04/2020;Trading;;01:37:17;
11/04/2020;Cocinar,Comer;Mientras Counter;01:17:58;
12/04/2020;Trading;;01:43:11;
12/04/2020;Dormir;;09:07:36;
12/04/2020;Trading;;02:49:34;
12/04/2020;Descanso;;00:15:44;
12/04/2020;Trading;;00:16:37;
12/04/2020;Cocinar,Comer,Descanso;Tostadas con queso,Huevos,Counter;02:14:05;
12/04/2020;Café ;;00:26:36;
13/04/2020;Trading;;05:58:48;
13/04/2020;Trading;;00:27:00;
13/04/2020;Cocinar,comer;Atun,Pure,Pan,Maní;01:21:32;
13/04/2020;Dormir;;08:10:50;
13/04/2020;Espavilar,Café ;;00:38:30;
13/04/2020;Facultad;;04:18:59;
13/04/2020;Cocinar,Aula virtual,Ejercicio, Comer,Descanso;Tallarines con tuco,Bifes;02:43:20;
13/04/2020;Facultad;;02:11:01;
14/04/2020;Dormir;Levantado a las 9:30;08:47:17;
14/04/2020;Espavilar,Café ;;00:12:00;
14/04/2020;Facultad;;02:35:50;
14/04/2020;Cocinar,Comer,Canto,Descanso;Pata - Muslo al horno,Counter;03:34:17;
14/04/2020;Facultad;;05:04:00;
14/04/2020;Descanso,Llamada madre,Lecturas;;01:04:35;
14/04/2020;Dormir;;09:05:00;
14/04/2020;Facultad;;07:27:04;
15/04/2020;Descanso,Mensajes;;01:31:15;
15/04/2020;Facultad;;01:45:11;
15/04/2020;Cocinar,Comer,Canto,Counter;;02:48:21;
16/04/2020;Dormir;;08:11:58;
16/04/2020;Procrastinar en internet;Entrevista el Demente;00:41:56;
16/04/2020;Facultad;Ayuno;03:53:59;
16/04/2020;Facultad,Ejercicio;;00:48:44;
16/04/2020;Facultad;;00:13:36;
16/04/2020;Tocar guitarra;;00:36:14;
16/04/2020;Facultad;;01:54:53;
16/04/2020;Facultad;;01:00:00;
16/04/2020;Descanso;;02:13:30;
17/04/2020;Dormir;;09:32:13;
17/04/2020;Trading;;02:45:16;
17/04/2020;Cocinar,Comer,Preparar café;;01:44:09;
17/04/2020;Trading;;05:54:05;
17/04/2020;Comer;;00:29:28;
17/04/2020;Trading;;00:46:05;
18/04/2020;Dormir;;08:20:00;
18/04/2020;Trading;;02:30:06;
18/04/2020;Compra faso,Tramite homebanking,Socializar;;04:50:38;Nito Fernandez,Juan Moreno,Román Mansilla
18/04/2020;Trading;;00:52:37;
18/04/2020;Cocinar,Comer;Counter;01:55:22;
19/04/2020;Trading;;01:21:32;
19/04/2020;Dormir;;08:00:00;
19/04/2020;Organizar y hacer lista de compras;;04:49:27;
19/04/2020;Comprar,Ordenar compras;;04:14:41;
19/04/2020;Cocinar,Comer;;01:50:19;
20/04/2020;Facultad;;02:04:20;
20/04/2020;Facultad;;04:20:45;
21/04/2020;Comer;Counter;01:38:22;
21/04/2020;Dormir;;08:36:28;
21/04/2020;Café,Procrastinación;;00:44:13;
21/04/2020;Facultad;;02:47:32;
21/04/2020;Trading;;02:28:59;
21/04/2020;Cocinar ,Comer;Pan con queso,Huevos;01:07:31;
21/04/2020;Descanso;;00:32:23;
21/04/2020;Trading;;00:40:37;
21/04/2020;Trading,Facultad;;01:07:01;
22/04/2020;Trading;;02:37:16;
22/04/2020;Cocinar,Comer;Tostadas con queso,Counter;00:53:30;
22/04/2020;Dormir;;08:45:00;
22/04/2020;Facultad,Cocinar,Ejercicios;Papas al horno;05:20:26;
22/04/2020;Comer;;01:15:26;
22/04/2020;Trading;;00:20:13;
22/04/2020;Compra fasito;;00:39:39;
23/04/2020;Trading;;04:03:28;
23/04/2020;Dormir;;07:45:22;
23/04/2020;Facultad;;04:26:32;
23/04/2020;Facultad,Cocinar,Limpieza y Orden;Clases virtuales,Papas al horno;02:01:32;
23/04/2020;Comer;;00:31:04;
23/04/2020;Facultad;;02:00:00;
23/04/2020;Descanso ;;00:30:00;
23/04/2020;Trading;;02:15:46;
24/04/2020;Cocinar,Comer;;02:11:48;
24/04/2020;Dormir;;08:58:02;
24/04/2020;Café,Entretenimiento en Internet;;00:40:12;
24/04/2020;Facultad;;03:08:29;
24/04/2020;Trading;;05:57:09;
24/04/2020;Comer;;01:08:39;
24/04/2020;Llamada madre;;00:22:28;
25/04/2020;Trading;;00:39:50;
25/04/2020;Dormir;;09:00:00;
25/04/2020;Facultad;;00:45:43;
25/04/2020;Trading;;01:28:41;
25/04/2020;Cocinar,Comer;Pan con queso derretido;01:17:06;
25/04/2020;Compra fasito;;01:00:37;
26/04/2020;Trading;;02:40:03;
26/04/2020;Dormir;;06:50:04;
26/04/2020;Espavilar,Café ;;00:46:15;
26/04/2020;Facultad;;02:36:53;
26/04/2020;Cocinar,Comer;;03:09:39;
26/04/2020;Café,Descanso;;00:21:41;
26/04/2020;Facultad;;01:52:56;
26/04/2020;Trading;;01:17:35;
27/04/2020;Dormir;;08:50:00;
27/04/2020;Facultad;;02:44:13;
27/04/2020;Cocinar,Comer,Facultad,Canto,Descanso ;;03:36:30;
27/04/2020;Caca,Mensajes;;00:27:39;
27/04/2020;Facultad;;02:57:40;
27/04/2020;Trading;;03:28:21;
28/04/2020;Dormir;;08:00:00;
28/04/2020;Facultad;;02:00:00;
28/04/2020;Facultad;;00:55:45;
28/04/2020;Cocinar,Comer ;Pan con queso,Pubg;01:04:46;
28/04/2020;Trading;;01:56:21;
28/04/2020;Comprar fasito,Comer;Atun con pan;01:16:50;
28/04/2020;Trading;;00:42:42;
28/04/2020;Facultad;;01:57:59;
28/04/2020;Trading;;01:23:53;
29/04/2020;Dormir;;08:46:40;
29/04/2020;Videollamada;Focusyn;00:40:28;
29/04/2020;Facultad;;01:52:45;
29/04/2020;Facultad,Cultivo;Aula Virtual;01:41:26;
29/04/2020;Cocinar,Comer,Descanso;Pubg,Pan con queso;01:27:31;
29/04/2020;Facultad;Trabajo en grupo ASI;02:10:48;
29/04/2020;Caca,Fasito;;00:34:28;
29/04/2020;Trading;;01:18:58;
30/04/2020;Dormir;;10:00:00;
30/04/2020;Procrastinar en internet;;00:44:34;
30/04/2020;Facultad;Aula Virtual;01:28:00;
30/04/2020;Lecturas Sistema;;00:20:36;
30/04/2020;Trading;;01:24:08;
30/04/2020;Facultad,Orden y Limpieza;Clases virtuales;02:02:01;
30/04/2020;Facultad,Compra fasito;Clases virtuales;02:33:51;
30/04/2020;Facultad;Clases virtuales;02:18:21;
30/04/2020;Llamada madre;;00:27:53;
30/04/2020;Trading;;01:08:58;
01/05/2020;Cocinar,Comer;Bifes a la olla,Arroz;02:08:48;
01/05/2020;Dormir;;08:13:16;
01/05/2020;Café,Colocar cortina;;00:18:00;
01/05/2020;Facultad;Practicar AED;00:27:00;
 01/05/2020;Facultad;Practicar AED;02:30:11;
01/05/2020;Ejercicio;;00:30:03;
01/05/2020;Facultad;Practicar AED;04:07:48;
02/05/2020;Dormir;;09:45:38;
02/05/2020;Facultad;Parcial AED;00:46.51;
02/05/2020;Trading;;01:08:00;
02/05/2020;Trading;;00:31:07;
02/05/2020;Cocinar,comer;Arroz,Pechuga a la olla;01:35:29;
02/05/2020;Descanso,Compra Fasito;Averiguar Precios;01:35:00;
02/05/2020;Compra fasito,Socializar,Cocinar,Llamada madre,Canto;Pollo a la olla,Arroz;04:50:27;Nito Fernandez,Juan Moreno,Julieta Nuńez
03/05/2020;Comer;Pubg;01:07:17;
03/05/2020;Dormir;;08:50:57;
03/05/2020;Trading;;03:30:13;
03/05/2020;Cocinar,Comer,Mensajes;Arroz,Pechuga a la olla,Pubg;02:04:07;Javier Colicoy
03/05/2020;Facultad;Grupo SOR;04:38:28;
03/05/2020;Ejercicio;;00:26:48;
03/05/2020;Cocinar,Comer,Descanso,Canto;Pechuga a la olla,Arroz con queso derretido;02:46:35;
04/05/2020;Procrastinar en internet;;00:33:15;
04/05/2020;Trading;;00:57:44;
04/05/2020;Dormir;;10:00:00;
04/05/2020;Trading,Facultad;Clases virtuales;02:12:38;
04/05/2020;Comer;Pechuga a la olla,Arroz con queso derretido;00:27:44;
04/05/2020;Trading;;00:33:00;
04/05/2020;Trading;;01:51:19;
04/05/2020;Facultad,Cocinar,Comer,Descanso;Clases virutales,Patamuslo a la olla,Arroz;02:39:18;
04/05/2020;Trading;;00:53:54;
04/05/2020;Facultad;Grupo SOR;01:08:38;
05/05/2020;Dormir;;10:10:44;
05/05/2020;Café;;00:23:51;
05/05/2020;Trading;;01:48:25;
05/05/2020;Cocinar,Comer,Descanso;Bifes a la olla,Arroz;02:40:54;
05/05/2020;Trading;;01:08:49;
05/05/2020;Facultad;Grupo SOR,Clases virtuales;04:56:01;
05/05/2020;Cocinar,Comer,Descanso;;01:48:04;
06/05/2020;Facultad;Descargar editor de videos;00:24:30;
06/05/2020;Dormir;;08:21:42;
06/05/2020;Café,Mensajes,Sistema;;00:27:15;Franco Herrera
06/05/2020;Facultad;;01:59:56;
06/05/2020;Cocinar,Comer ;Bife a la olla,Arroz;01:38:24;
06/05/2020;Facultad;;00:53:13;
06/05/2020;Trading;;00:21:09;
06/05/2020;Facultad ,Descanso;;00:35:17;
06/05/2020;Instalación de programas;;01:17:51;
06/05/2020;Facultad;;03:15:00;
07/05/2020;Cocinar,Comer;Patamuslo a la olla,Arroz;01:15:08;
07/05/2020;Dormir;;09:30:00;
07/05/2020;Impuestos;;00:53:15;
07/05/2020;Facultad;;01:34:34;
07/05/2020;Cocinar,Canto,Comer,Facultad;Clases virtuales,Tallarines con pollo;03:04:33;
07/05/2020;Orden y Limpieza,Facultad;Clases virtuales;03:04:34;
07/05/2020;Facultad;;02:41:26;
07/05/2020;Comer,Llamada madre;Tallarines con pollo;01:27:47;
08/05/2020;Dormir;;10:29:03;
08/05/2020;Café,Fasito;;00:27:24;
08/05/2020;Facultad;Practicar MAD ;02:05:33;
08/05/2020;Cocinar,Comer ;Tallarines con pollo;02:47:50;
08/05/2020;Facultad;;05:10:22;
08/05/2020;Comer,Llamada madre,Mensajes;;00:57:12;Agustín Vicentela,Nito Fernandez,Román Mansilla
08/05/2020;Sistema;;01:07:42;
09/05/2020;Formir;;09:51:32;
09/05/2020;Facultad;Trabajo SOR;02:08:56;
09/05/2020;Cocinar,Comer,Procrastinar en internet;;01:21:42;
09/05/2020;Facultad;Trabajo SOR;01:51:23;
09/05/2020;Trading;;01:47:02;
09/05/2020;Comer;Atun con pan;00:49:49;
09/05/2020;Trading;;03:42:52;
10/05/2020;Dormir;;10:30:00;
10/05/2020;Trading;;00:23:45;
10/05/2020;Cocinar,Comer;Tostadas con queso;00:46:12;
10/05/2020;Trading;;01:33:22;
10/05/2020;Compra fasito;Ir a sacar plata;01:19:36;
10/05/2020;Trading;;01:12:41;
10/05/2020;Facultad;Grupo SOR;03:17:38;
10/05/2020;Cocinar,comer;Tostadas con queso;00:40:16;
11/05/2020;Trading;;02:49:13;
11/05/2020;Dormir;;09:30:00;
11/05/2020;Facultad;;02:36:58;
11/05/2020;Cocinar,Comer,Descanso;Pollo a la olla,Polenta;02:40:26;
11/05/2020;Sistema;;00:29:15;
11/05/2020;Compras;;02:04:28;
11/05/2020;Facultad ,Orden y Limpieza;Clases virtuales;00:46:17;
11/05/2020;Compra fasito;;00:40:00;
11/05/2020;Facultad;;01:00:24;
11/05/2020;Comer;Pollo,Maní;00:32:00;
12/05/2020;Dormir;;09:27:00;
12/05/2020;Impuestos;;00:43:08;
12/05/2020;Facultad;MAD Cuestionario 1 (Practico);00:40:28;
12/05/2020;Cocinar,Trading,Comer;Osobuco a la olla,Papas;01:41:53;
12/05/2020;Trading;;05:34:15;
12/05/2020;Facultad,Compra fasito;Clases virtuales;01:26:18;
12/05/2020;Llamada madre;;01:13:35;
13/05/2020;Dormir;;08:58:11;
13/05/2020;Facultad;Practica SOR;03:42:13;
13/05/2020;Facultad,Sistema fasito;Clases virtuales,Colocar foco de sodio;02:08:49;
13/05/2020;Trading,Cocinar,comer;;01:35:40;
13/05/2020;Trading;;05:28:44;
14/05/2020;Dormir;;09:30:00;
14/05/2020;Café,Fasito;;00:23:00;
14/05/2020;Trading;Programación;02:04:27;
14/05/2020;Cocinar,Comer ;Pollo a la olla,Arroz;01:09:03;
14/05/2020;Trading;Programación;02:12:00;
14/05/2020;Facultad,Lectura;Clases virtuales,Biografía Elon Musk;01:38:00;
14/05/2020;Compra fasito;;01:21:41;
14/05/2020;Facultad;;00:51:58;
15/05/2020;Trading;Programación;01:06:32;
15/05/2020;Cocinar,Comer ;Pechuga a la olla,Papas,Arroz;01:04:46;
15/05/2020;Dormir;;07:33:22;
15/05/2020;Trading;Programación;01:54:35;
15/05/2020;Te de tomillo,Videos económicos;;00:32:18;
15/05/2020;Sistema,Lecturas;El arte de la guerra,Planificación;01:04:46;
15/05/2020;Facultad;TPI ASI;05:21:23;
16/05/2020;Trading;Capura de datos,Debuggeo;02:41:18;
16/05/2020;Dormir;;07:40:00;
16/05/2020;Café;;00:05:46;
16/05/2020;Facultad;Practicar MAD ;02:27:49;
16/05/2020;Cocinar,Facultad,Comer;Patamuslo a la olla,Papas,Practicar MAD;02:18:50;
16/05/2020;Facultad;Enviar dudas de MAD;00:49:02;
16/05/2020;Trading;Debuggeo;04:45:38;
16/05/2020;Comer ;Pollo a la olla,Papas;00:48:18;
16/05/2020;Trading;Debuggeo,Recoletar datos;01:11:07;
17/05/2020;Canto;;01:00:34;
17/05/2020;Dormir;;08:40:00;
17/05/2020;Café;;00:10:04;
17/05/2020;Facultad;Practicar MAD ;00:44:37;
17/05/2020;Trading;Debuggeo,Recoletar datos;01:47:24;
17/05/2020;Cocinar,comer,Trading;Pechuga a la olla,Arroz;01:51:39;
17/05/2020;Trading;;00:59:00;
17/05/2020;Compra fasito,Socializar;;04:31:25;Nito Fernandez,Nuty Ortiz
18/05/2020;Trading,Socializar;Videollamada,Recolectar datos;04:34:16;Juan Moreno,Nito Fernandez,Román Mansilla
18/05/2020;Dormir;;07:20:22;
18/05/2020;Facultad;Resumir MAD;01:11:17;
18/05/2020;Cocinar,comer ;Arroz,Huevos;00:40:07;
18/05/2020;Facultad;Resumir MAD;03:21:20;
18/05/2020;Lecturas Sistema;;00:19:39;
18/05/2020;Facultad;Cuestionario 2 MAD (Práctico y Teórico);01:07:26;
18/05/2020;Cocinar,Comer ;Pollo a la olla,Arroz,Huevos;01:19:59;
18/05/2020;Trading;Recolectar datos;03:33:00;
19/05/2020;Trading,Llamada madre,Mensajes;;01:00:00;Nito Fernandez,Javier Colicoy
19/05/2020;Dormir;;09:05:33;
19/05/2020;Trading;Recolectar datos,Debuggeo;02:44:13;
19/05/2020;Cocinar,Comer ;Pechuga a la olla,Arroz ,Huevos;01:15:13;
19/05/2020;Trading;Recolectar datos;04:57:32;
19/05/2020;Ejercicio;;00:18:59;
16/05/2020;Trading;Recolectar datos;02:33:02;
20/05/2020;Dormir;;07:02:48;
20/05/2020;Café;;00:13:37;
20/05/2020;Trading;Recolectar datos;03:09:32;
20/05/2020;Cocinar,Comer,Descanso;Osobuco a la olla,Arroz ,Huevos;02:55:06;
20/05/2020;Facultad,Descanso;;01:21:57;
20/05/2020;Facultad;TPI ASI;02:51:01;
20/05/2020;Compra fasito;;01:03:40;
20/05/2020;Mensajes ;Focusyn,Pibes mecatronica;00:25:22;Emmanuel Avendańo
21/05/2020;Dormir;;06:17:00;
21/05/2020;Trading;Recolectar datos;04:04:11;
21/05/2020;Cocinar,Comer,Facultad,Trading,Descanso;Osobuco a la ola,Arroz,Clases virutales,Debuggeo;03:17:23;
21/05/2020;Compra fasito;;01:13:24;
21/05/2020;Facultad,Trading;Clases virtuales,Recolectar datos;03:25:34;
21/05/2020;Facultad;Simulacro 1er Parcial ASI;02:11:44;
22/05/2020;Comer;;00:42:25;
22/05/2020;Dormir;;07:15:00;
22/05/2020;Café;;00:31:55;
22/05/2020;Facultad;Practicar ASI;04:13:14;
22/05/2020;Trading;Recolectar datos;03:35:05;
22/05/2020;Cocinar,Comer ;Pechuga a la olla,Arroz;01:52:14;
22/05/2020;Facultad;Resumir MAD;03:53:37;
23/05/2020;Dormir;;08:15:00;
23/05/2020;Facultad;Resumir MAD;03:09:26;
23/05/2020;Compras,Orden y Limpieza;;01:41:09;
23/05/2020;Cocinar,Comer,Descanso;Osobuco a la olla,Papas,ensalada;01:21:04;
23/05/2020;Facultad;Resumir MAD;00:49:22;
23/05/2020;Trading,Facultad;;06:30:46;
24/05/2020;Dormir;;07:11:52;
24/05/2020;Café;;00:20:19;
24/05/2020;Facultad;Practicar MAD ;04:31:27;
24/05/2020;Ejercicio,Cocinar,Facultad ;Osobuco a la olla,Papas,Practicar MAD;00:45:23;
24/05/2020;Facultad;Practicar MAD ;03:41:20;
24/05/2020;Ejercicio ;;00:30:02;
24/05/2020;Facultad;Enviar Dudas ASI;03:12:44;
25/05/2020;Cocinar,Comer;Osobuco a la olla,Papas,Arroz,Ensalada,Pan con queso;01:12:22;
25/05/2020;Dormir;;08:01:59;
25/05/2020;Café,Lecturas;Dieta de una vez al día;00:34:45;
25/05/2020;Facultad;Cuestionario 3 MAD (Práctico y Teórico),TPI ASI;03:40:50;
25/05/2020;Trading;Estudio de Bases de Datos;05:16:13;
25/05/2020;Cocinar,Comer,Llamada madre,Descanso;Osobuco al sarten,Papas,Arroz,Ensalada,Pan con queso;02:54:20;
26/05/2020;Dormir;;08:53:10;
26/05/2020;Compra fasito ;;01:00:00;
26/05/2020;Facultad;TPI ASI;01:30:00;
26/05/2020;Facultad;TPI ASI;01:40:35;
26/05/2020;Trading,Facultad;Estudio de Grafos y Arboles;05:46:18;
26/05/2020;Cocinar,Comer,Descanso;Osobuco al sarte,Arroz,Huevos,Pan;02:24:48;
27/05/2020;Dormir;;07:11:31;
27/05/2020;Facultad;Practicar ASI;02:52:57;
27/05/2020;Trading,Facultad;Estudiar grafos;01:37:04;
27/05/2020;Facultad;Clases virtuales;01:22:01;
27/05/2020;Trading,Facultad;Programación grafos;03:34:04;
